score_key,eta2,f1,accuracy,precision,recall,specificity,direction,threshold,tp,fp,tn,fn,c3_mean,c0_mean
high_low_gap_0_7_0_3,0.02782021663601886,0.6399999999999999,0.4782608695652174,0.47058823529411764,1.0,0.02702702702702703,low_is_c3,0.7692307692307693,32,36,1,0,0.21004969295410472,0.28783866283866283
consistency_score_file_min,0.0004463133226691916,0.6399999999999999,0.4782608695652174,0.47058823529411764,1.0,0.02702702702702703,low_is_c3,0.43553251716152935,32,36,1,0,0.037068283500845366,0.041412940944516766
worst_score,0.0004463133226691916,0.6399999999999999,0.4782608695652174,0.47058823529411764,1.0,0.02702702702702703,low_is_c3,0.43553251716152935,32,36,1,0,0.037068283500845366,0.041412940944516766
consistency_score_file_max,5.27084453139288e-05,0.6399999999999999,0.4782608695652174,0.47058823529411764,1.0,0.02702702702702703,high_is_c3,0.9998414634104806,32,36,1,0,0.9999916405732949,0.9999910885996816
high_low_ratio_0_8_over_0_2_smoothed,0.009475218644468077,0.6382978723404255,0.5072463768115942,0.4838709677419355,0.9375,0.13513513513513514,low_is_c3,3.6666666666666665,30,32,5,2,1.9842261904761904,2.3863577863577863
high_low_gap_0_8_0_2,0.051576423680570485,0.6352941176470588,0.5507246376811594,0.5094339622641509,0.84375,0.2972972972972973,low_is_c3,0.2857142857142857,27,26,11,5,0.12268974897651369,0.21654374154374154
c2_coding_low05_rate,0.07682333068362479,0.6336633663366337,0.463768115942029,0.463768115942029,1.0,0.0,high_is_c3,0.0,32,37,0,0,0.65625,0.3783783783783784
high_low_gap_0_8_0_4,0.04082474175199512,0.6336633663366337,0.463768115942029,0.463768115942029,1.0,0.0,low_is_c3,0.6923076923076923,32,37,0,0,0.05234661172161172,0.14335750585750584
high_score_rate_0_2,0.02292425359867103,0.6336633663366337,0.463768115942029,0.463768115942029,1.0,0.0,low_is_c3,1.0,32,37,0,0,0.7778873087696617,0.8086303336303337
low_score_rate_0_2,0.02292425359867099,0.6336633663366337,0.463768115942029,0.463768115942029,1.0,0.0,high_is_c3,0.0,32,37,0,0,0.22211269123033828,0.19136966636966637
num_roles,0.021243277716492134,0.6336633663366337,0.463768115942029,0.463768115942029,1.0,0.0,high_is_c3,4.0,32,37,0,0,4.78125,4.648648648648648
low_score_rate_0_4,0.013787648692548466,0.6336633663366337,0.463768115942029,0.463768115942029,1.0,0.0,high_is_c3,0.0,32,37,0,0,0.29245582848524027,0.26455590205590207
high_score_rate_0_4,0.013787648692548409,0.6336633663366337,0.463768115942029,0.463768115942029,1.0,0.0,low_is_c3,1.0,32,37,0,0,0.7075441715147598,0.7354440979440979
entropy_normalized,0.006665136551862906,0.6336633663366337,0.463768115942029,0.463768115942029,1.0,0.0,high_is_c3,0.491021096228183,32,37,0,0,0.821412280213064,0.8026509225377458
high_score_rate_0_1,0.0037668676899367134,0.6336633663366337,0.463768115942029,0.463768115942029,1.0,0.0,low_is_c3,1.0,32,37,0,0,0.8254720157293687,0.8362195987195987
low_score_rate_0_1,0.0037668676899367125,0.6336633663366337,0.463768115942029,0.463768115942029,1.0,0.0,high_is_c3,0.0,32,37,0,0,0.17452798427063132,0.16378040128040128
c2_reviewmod_low05_rate,1.4357396171107465e-05,0.6336633663366337,0.463768115942029,0.463768115942029,1.0,0.0,high_is_c3,0.0,32,37,0,0,0.4895833333333333,0.4864864864864865
