score_key,direction,threshold,f1,precision,recall,accuracy,tp,fp,tn,fn,pred_count
phase_count::TestModification,low_is_c3,-0.0,0.05769230769230769,0.0297029702970297,1.0,0.07547169811320754,3,98,5,0,101
role_low05::Chief Executive Officer,low_is_c3,-0.0,0.05769230769230769,0.0297029702970297,1.0,0.07547169811320754,3,98,5,0,101
phase_low05::TestModification,low_is_c3,-0.0,0.05660377358490566,0.02912621359223301,1.0,0.05660377358490566,3,100,3,0,103
low_score_rate_0_4,low_is_c3,-0.46153846153846156,0.05607476635514019,0.028846153846153848,1.0,0.04716981132075472,3,101,2,0,104
phase_mean::CodeComplete,low_is_c3,-0.0,0.05607476635514019,0.028846153846153848,1.0,0.04716981132075472,3,101,2,0,104
phase_count::CodeComplete,low_is_c3,-0.0,0.05607476635514019,0.028846153846153848,1.0,0.04716981132075472,3,101,2,0,104
phase_low05::CodeComplete,low_is_c3,-0.0,0.05555555555555556,0.02857142857142857,1.0,0.03773584905660377,3,102,1,0,105
phase_count::CodeReviewComment,low_is_c3,-3.0,0.05555555555555556,0.02857142857142857,1.0,0.03773584905660377,3,102,1,0,105
phase_count::LanguageChoose,low_is_c3,-3.0,0.05555555555555556,0.02857142857142857,1.0,0.03773584905660377,3,102,1,0,105
consistency_score_file_mean,high_is_c3,0.4339586321470037,0.055045871559633024,0.02830188679245283,1.0,0.02830188679245283,3,103,0,0,106
low_score_rate_0_2,low_is_c3,-0.46153846153846156,0.055045871559633024,0.02830188679245283,1.0,0.02830188679245283,3,103,0,0,106
high_score_rate_0_2,high_is_c3,0.5384615384615384,0.055045871559633024,0.02830188679245283,1.0,0.02830188679245283,3,103,0,0,106
phase_mean::CodeComplete,high_is_c3,0.0,0.055045871559633024,0.02830188679245283,1.0,0.02830188679245283,3,103,0,0,106
phase_low05::CodeComplete,high_is_c3,0.0,0.055045871559633024,0.02830188679245283,1.0,0.02830188679245283,3,103,0,0,106
phase_count::CodeComplete,high_is_c3,0.0,0.055045871559633024,0.02830188679245283,1.0,0.02830188679245283,3,103,0,0,106
phase_low05::CodeReviewComment,low_is_c3,-1.0,0.055045871559633024,0.02830188679245283,1.0,0.02830188679245283,3,103,0,0,106
phase_count::CodeReviewComment,high_is_c3,3.0,0.055045871559633024,0.02830188679245283,1.0,0.02830188679245283,3,103,0,0,106
phase_count::CodeReviewModification,high_is_c3,3.0,0.055045871559633024,0.02830188679245283,1.0,0.02830188679245283,3,103,0,0,106
phase_low05::Coding,high_is_c3,0.0,0.055045871559633024,0.02830188679245283,1.0,0.02830188679245283,3,103,0,0,106
phase_count::Coding,high_is_c3,1.0,0.055045871559633024,0.02830188679245283,1.0,0.02830188679245283,3,103,0,0,106
phase_count::Coding,low_is_c3,-1.0,0.055045871559633024,0.02830188679245283,1.0,0.02830188679245283,3,103,0,0,106
phase_low05::DemandAnalysis,high_is_c3,0.0,0.055045871559633024,0.02830188679245283,1.0,0.02830188679245283,3,103,0,0,106
phase_count::DemandAnalysis,high_is_c3,2.0,0.055045871559633024,0.02830188679245283,1.0,0.02830188679245283,3,103,0,0,106
phase_low05::EnvironmentDoc,high_is_c3,0.0,0.055045871559633024,0.02830188679245283,1.0,0.02830188679245283,3,103,0,0,106
phase_count::EnvironmentDoc,high_is_c3,1.0,0.055045871559633024,0.02830188679245283,1.0,0.02830188679245283,3,103,0,0,106
phase_low05::LanguageChoose,high_is_c3,0.0,0.055045871559633024,0.02830188679245283,1.0,0.02830188679245283,3,103,0,0,106
phase_low05::Manual,high_is_c3,0.0,0.055045871559633024,0.02830188679245283,1.0,0.02830188679245283,3,103,0,0,106
