score_key,direction,threshold,f1,precision,recall,accuracy,specificity,balanced_accuracy,tp,fp,tn,fn,n
high_score_rate_0_5,high_is_c3,0.2857142857142857,0.6336633663366337,0.463768115942029,1.0,0.463768115942029,0.0,0.5,32,37,0,0,69
high_score_rate_0_6,high_is_c3,0.2857142857142857,0.6336633663366337,0.463768115942029,1.0,0.463768115942029,0.0,0.5,32,37,0,0,69
high_score_rate_0_9,high_is_c3,0.06666666666666667,0.6336633663366337,0.463768115942029,1.0,0.463768115942029,0.0,0.5,32,37,0,0,69
low_score_rate_0_1,high_is_c3,0.0,0.6336633663366337,0.463768115942029,1.0,0.463768115942029,0.0,0.5,32,37,0,0,69
low_score_rate_0_2,high_is_c3,0.0,0.6336633663366337,0.463768115942029,1.0,0.463768115942029,0.0,0.5,32,37,0,0,69
low_score_rate_0_2,low_is_c3,-0.46153846153846156,0.6336633663366337,0.463768115942029,1.0,0.463768115942029,0.0,0.5,32,37,0,0,69
low_score_rate_0_3,low_is_c3,-0.46153846153846156,0.6336633663366337,0.463768115942029,1.0,0.463768115942029,0.0,0.5,32,37,0,0,69
low_score_rate_0_4,high_is_c3,0.0,0.6336633663366337,0.463768115942029,1.0,0.463768115942029,0.0,0.5,32,37,0,0,69
low_score_rate_0_4,low_is_c3,-0.5,0.6336633663366337,0.463768115942029,1.0,0.463768115942029,0.0,0.5,32,37,0,0,69
low_score_rate_0_5,low_is_c3,-0.7142857142857143,0.6336633663366337,0.463768115942029,1.0,0.463768115942029,0.0,0.5,32,37,0,0,69
low_score_rate_0_6,low_is_c3,-0.7142857142857143,0.6336633663366337,0.463768115942029,1.0,0.463768115942029,0.0,0.5,32,37,0,0,69
low_score_rate_0_9,low_is_c3,-0.9333333333333333,0.6336633663366337,0.463768115942029,1.0,0.463768115942029,0.0,0.5,32,37,0,0,69
low_tail_penalty_score,high_is_c3,-0.027579829391457866,0.6336633663366337,0.463768115942029,1.0,0.463768115942029,0.0,0.5,32,37,0,0,69
num_phases,low_is_c3,-10.0,0.6336633663366337,0.463768115942029,1.0,0.463768115942029,0.0,0.5,32,37,0,0,69
num_roles,high_is_c3,4.0,0.6336633663366337,0.463768115942029,1.0,0.463768115942029,0.0,0.5,32,37,0,0,69
num_roles,low_is_c3,-5.0,0.6336633663366337,0.463768115942029,1.0,0.463768115942029,0.0,0.5,32,37,0,0,69
