score_key,eta2,f1,accuracy,precision,recall,specificity,balanced_accuracy,direction,threshold,tp,fp,tn,fn,n,c4_mean,c0_mean
high_low_half_penalty_0_6_0_4,0.024824099617165894,0.6818181818181819,0.6216216216216216,0.5882352941176471,0.8108108108108109,0.43243243243243246,0.6216216216216217,low_is_c4,0.5244047619047618,30,21,16,7,74,0.4093654093654094,0.4623599561099561
high_low_gap_0_6_0_3,0.01740755706177403,0.6808510638297872,0.5945945945945946,0.5614035087719298,0.8648648648648649,0.32432432432432434,0.5945945945945946,low_is_c4,0.5358974358974358,32,25,12,5,74,0.3492129492129492,0.40046777546777546
high_score_rate_0_9,0.020227291684877236,0.6804123711340206,0.581081081081081,0.55,0.8918918918918919,0.2702702702702703,0.5810810810810811,low_is_c4,0.38278388278388276,33,27,10,4,74,0.2616275616275616,0.2875066000066
low_score_rate_0_9,0.020227291684877236,0.6804123711340206,0.581081081081081,0.55,0.8918918918918919,0.2702702702702703,0.5810810810810811,high_is_c4,0.6172161172161172,33,27,10,4,74,0.7383724383724384,0.7124933999934
consistency_score_file_std,0.01676290553068727,0.6796116504854369,0.5540540540540541,0.5303030303030303,0.9459459459459459,0.16216216216216217,0.5540540540540541,high_is_c4,0.24433881617009368,35,31,6,2,74,0.3141399687210838,0.3005268103137298
high_low_half_penalty_0_8_0_3,0.04044643526343302,0.6792452830188679,0.5405405405405406,0.5217391304347826,0.972972972972973,0.10810810810810811,0.5405405405405406,low_is_c4,0.4821428571428571,36,33,4,1,74,0.237981387981388,0.2914152476652477
consistency_score_file_median,0.01190505477364829,0.6792452830188679,0.5405405405405406,0.5217391304347826,0.972972972972973,0.10810810810810811,0.5405405405405406,high_is_c4,0.48376757493809425,36,33,4,1,74,0.6499674086317238,0.6753602046669099
num_turns,0.0008178100863243902,0.6792452830188679,0.5405405405405406,0.5217391304347826,0.972972972972973,0.10810810810810811,0.5405405405405406,low_is_c4,15.5,36,33,4,1,74,13.783783783783784,13.864864864864865
high_low_gap_0_6_0_4,0.025011513343213106,0.6788990825688073,0.527027027027027,0.5138888888888888,1.0,0.05405405405405406,0.527027027027027,low_is_c4,0.8076923076923077,37,35,2,0,74,0.263983763983764,0.3327979077979078
low_score_rate_0_6,0.021799415102570486,0.6788990825688073,0.527027027027027,0.5138888888888888,1.0,0.05405405405405406,0.527027027027027,high_is_c4,0.18681318681318682,37,35,2,0,74,0.44525294525294523,0.40807799557799557
high_score_rate_0_6,0.02179941510257042,0.6788990825688073,0.527027027027027,0.5138888888888888,1.0,0.05405405405405406,0.527027027027027,low_is_c4,0.8131868131868132,37,35,2,0,74,0.5547470547470548,0.5919220044220044
low_score_rate_0_5,0.021586534397906528,0.6788990825688073,0.527027027027027,0.5138888888888888,1.0,0.05405405405405406,0.527027027027027,high_is_c4,0.11538461538461539,37,35,2,0,74,0.36755766755766756,0.3339207339207339
high_score_rate_0_5,0.021586534397906525,0.6788990825688073,0.527027027027027,0.5138888888888888,1.0,0.05405405405405406,0.527027027027027,low_is_c4,0.8846153846153846,37,35,2,0,74,0.6324423324423324,0.666079266079266
high_score_rate_0_4,0.01891776699075014,0.673076923076923,0.5405405405405406,0.5223880597014925,0.9459459459459459,0.13513513513513514,0.5405405405405406,low_is_c4,0.8901098901098901,35,32,5,2,74,0.7092367092367092,0.7408759033759034
low_score_rate_0_4,0.01891776699075014,0.673076923076923,0.5405405405405406,0.5223880597014925,0.9459459459459459,0.13513513513513514,0.5405405405405406,high_is_c4,0.10989010989010989,35,32,5,2,74,0.29076329076329077,0.25912409662409663
high_score_rate_0_3,0.004595895961961759,0.6728971962616821,0.527027027027027,0.5142857142857142,0.972972972972973,0.08108108108108109,0.5270270270270271,low_is_c4,0.930952380952381,36,34,3,1,74,0.7944658944658944,0.8085457710457711
low_score_rate_0_3,0.004595895961961723,0.6728971962616821,0.527027027027027,0.5142857142857142,0.972972972972973,0.08108108108108109,0.5270270270270271,high_is_c4,0.06904761904761905,36,34,3,1,74,0.20553410553410553,0.19145422895422895
low_score_rate_0_8,0.03797997530726655,0.6666666666666666,0.5,0.5,1.0,0.0,0.5,high_is_c4,0.4,37,37,0,0,74,0.6592515592515593,0.6128576378576378
high_score_rate_0_8,0.03797997530726637,0.6666666666666666,0.5,0.5,1.0,0.0,0.5,high_is_c4,0.07692307692307693,37,37,0,0,74,0.34074844074844074,0.38714236214236214
high_score_rate_0_1,0.030555521684411908,0.6666666666666666,0.5,0.5,1.0,0.0,0.5,high_is_c4,0.7142857142857143,37,37,0,0,74,0.9013167013167013,0.9302148302148302
low_score_rate_0_1,0.030555521684411845,0.6666666666666666,0.5,0.5,1.0,0.0,0.5,high_is_c4,0.0,37,37,0,0,74,0.09868329868329868,0.06978516978516978
num_outputs,0.0016172807518368259,0.6666666666666666,0.5,0.5,1.0,0.0,0.5,high_is_c4,76.0,37,37,0,0,74,129.8918918918919,132.3783783783784
