recall_floor,score_key,eta2,f1,f2,accuracy,precision,recall,specificity,balanced_accuracy,auc_best_direction,direction,threshold,tp,fp,tn,fn,c2_mean,c0_mean,c2_n,c0_n
0.8,high_low_gap_0_7_0_5,0.00445569213415524,0.7375886524822695,0.8754208754208754,0.5842696629213483,0.5842696629213483,1.0,0.0,0.5,0.5322245322245323,low_is_c2,0.7857142857142857,52,37,0,0,0.500976300283427,0.5180563805563806,52,37
0.8,high_low_gap_0_7_0_2,0.0037510914570302303,0.7375886524822695,0.8754208754208754,0.5842696629213483,0.5842696629213483,1.0,0.0,0.5,0.53508316008316,low_is_c2,0.7857142857142857,52,37,0,0,0.525667596920425,0.53998778998779,52,37
0.8,consistency_score_file_median,0.0029525226618385128,0.7375886524822695,0.8754208754208754,0.5842696629213483,0.5842696629213483,1.0,0.0,0.5,0.5847193347193347,low_is_c2,0.8032,52,37,0,0,0.7324567307692308,0.7356027027027027,52,37
0.8,high_low_gap_0_7_0_3,0.0027029485736733165,0.7375886524822695,0.8754208754208754,0.5842696629213483,0.5842696629213483,1.0,0.0,0.5,0.5317047817047817,low_is_c2,0.7857142857142857,52,37,0,0,0.525667596920425,0.5379087879087879,52,37
0.8,high_low_gap_0_7_0_4,0.002240520411010874,0.7375886524822695,0.8754208754208754,0.5842696629213483,0.5842696629213483,1.0,0.0,0.5,0.5343035343035343,low_is_c2,0.7857142857142857,52,37,0,0,0.521532629323919,0.5331270831270831,52,37
0.8,consistency_score_file_q10,0.0010554639020984309,0.7375886524822695,0.8754208754208754,0.5842696629213483,0.5842696629213483,1.0,0.0,0.5,0.5051975051975052,low_is_c2,0.6721400000000001,52,37,0,0,0.5127859615384616,0.503015945945946,52,37
0.8,high_low_half_penalty_0_6_0_2,0.0001873396600411492,0.7375886524822695,0.8754208754208754,0.5842696629213483,0.5842696629213483,1.0,0.0,0.5,0.5002598752598753,low_is_c2,1.0,52,37,0,0,0.7876252942005204,0.7843499405999406,52,37
0.9,consistency_score_file_q25,0.002419666155512647,0.759124087591241,0.8873720136518771,0.6292134831460674,0.611764705882353,1.0,0.10810810810810811,0.5540540540540541,0.5197505197505197,low_is_c2,0.70635,52,33,4,0,0.6333783653846153,0.6378027027027027,52,37
0.9,c0_vs_c2_lda_top_12_score,0.10701346348713471,0.7536231884057971,0.8843537414965987,0.6179775280898876,0.6046511627906976,1.0,0.08108108108108109,0.5405405405405406,0.6962058212058212,high_is_c2,-0.824048583647623,52,34,3,0,0.10824607913343251,-0.1521296247280634,52,37
0.9,c0_vs_c2_lda_top_8_score,0.10576062409554694,0.7536231884057971,0.8843537414965987,0.6179775280898876,0.6046511627906976,1.0,0.08108108108108109,0.5405405405405406,0.6936070686070686,high_is_c2,-0.7979876390572037,52,34,3,0,0.10263440226862869,-0.1442429437288795,52,37
