score_key,direction,threshold,f1,f2,precision,recall,accuracy,specificity,balanced_accuracy,tp,fp,tn,fn,n
c2_repetition_symptom_score,low_is_c2,1.3231468821701176,0.7428571428571429,0.8783783783783784,0.5909090909090909,1.0,0.5955056179775281,0.02702702702702703,0.5135135135135135,52,36,1,0,89
high_low_gap_0_6_0_2,high_is_c2,0.42307692307692313,0.7428571428571429,0.8783783783783784,0.5909090909090909,1.0,0.5955056179775281,0.02702702702702703,0.5135135135135135,52,36,1,0,89
high_low_gap_0_6_0_3,high_is_c2,0.42307692307692313,0.7428571428571429,0.8783783783783784,0.5909090909090909,1.0,0.5955056179775281,0.02702702702702703,0.5135135135135135,52,36,1,0,89
high_low_gap_0_6_0_4,high_is_c2,0.42307692307692313,0.7428571428571429,0.8783783783783784,0.5909090909090909,1.0,0.5955056179775281,0.02702702702702703,0.5135135135135135,52,36,1,0,89
high_low_gap_0_8_0_5,high_is_c2,0.06071428571428572,0.7428571428571429,0.8783783783783784,0.5909090909090909,1.0,0.5955056179775281,0.02702702702702703,0.5135135135135135,52,36,1,0,89
high_low_gap_0_9_0_3,high_is_c2,0.10989010989010989,0.7428571428571429,0.8783783783783784,0.5909090909090909,1.0,0.5955056179775281,0.02702702702702703,0.5135135135135135,52,36,1,0,89
high_low_gap_0_9_0_4,high_is_c2,0.06071428571428572,0.7428571428571429,0.8783783783783784,0.5909090909090909,1.0,0.5955056179775281,0.02702702702702703,0.5135135135135135,52,36,1,0,89
high_low_gap_0_9_0_5,high_is_c2,0.06071428571428572,0.7428571428571429,0.8783783783783784,0.5909090909090909,1.0,0.5955056179775281,0.02702702702702703,0.5135135135135135,52,36,1,0,89
high_low_half_penalty_0_6_0_3,high_is_c2,0.5166666666666666,0.7428571428571429,0.8783783783783784,0.5909090909090909,1.0,0.5955056179775281,0.02702702702702703,0.5135135135135135,52,36,1,0,89
high_low_half_penalty_0_6_0_4,high_is_c2,0.5166666666666666,0.7428571428571429,0.8783783783783784,0.5909090909090909,1.0,0.5955056179775281,0.02702702702702703,0.5135135135135135,52,36,1,0,89
high_low_half_penalty_0_9_0_4,high_is_c2,0.15178571428571427,0.7428571428571429,0.8783783783783784,0.5909090909090909,1.0,0.5955056179775281,0.02702702702702703,0.5135135135135135,52,36,1,0,89
high_low_half_penalty_0_9_0_5,high_is_c2,0.15178571428571427,0.7428571428571429,0.8783783783783784,0.5909090909090909,1.0,0.5955056179775281,0.02702702702702703,0.5135135135135135,52,36,1,0,89
consistency_score_file_median,low_is_c2,0.8032,0.7375886524822695,0.8754208754208754,0.5842696629213483,1.0,0.5842696629213483,0.0,0.5,52,37,0,0,89
consistency_score_file_q10,low_is_c2,0.6721400000000001,0.7375886524822695,0.8754208754208754,0.5842696629213483,1.0,0.5842696629213483,0.0,0.5,52,37,0,0,89
worst_score,high_is_c2,0.0,0.7375886524822695,0.8754208754208754,0.5842696629213483,1.0,0.5842696629213483,0.0,0.5,52,37,0,0,89
high_low_half_penalty_0_6_0_2,low_is_c2,1.0,0.7375886524822695,0.8754208754208754,0.5842696629213483,1.0,0.5842696629213483,0.0,0.5,52,37,0,0,89
