accuracy,balanced_accuracy,direction,f1,f2,fn,fp,n,precision,recall,score_key,specificity,threshold,tn,tp
0.4782608695652174,0.5135135135135135,low_is_c1,0.6399999999999999,0.8163265306122449,0,36,69,0.47058823529411764,1.0,high_low_gap_0_6_0_2,0.02702702702702703,0.8461538461538463,1,32
0.4782608695652174,0.5135135135135135,low_is_c1,0.6399999999999999,0.8163265306122449,0,36,69,0.47058823529411764,1.0,high_low_gap_0_8_0_2,0.02702702702702703,0.5384615384615385,1,32
0.4782608695652174,0.5135135135135135,low_is_c1,0.6399999999999999,0.8163265306122449,0,36,69,0.47058823529411764,1.0,high_low_gap_0_8_0_3,0.02702702702702703,0.576923076923077,1,32
0.4782608695652174,0.5135135135135135,low_is_c1,0.6399999999999999,0.8163265306122449,0,36,69,0.47058823529411764,1.0,high_low_gap_0_8_0_4,0.02702702702702703,0.576923076923077,1,32
0.4782608695652174,0.5135135135135135,low_is_c1,0.6399999999999999,0.8163265306122449,0,36,69,0.47058823529411764,1.0,high_low_gap_0_8_0_5,0.02702702702702703,0.576923076923077,1,32
0.5362318840579711,0.5591216216216216,low_is_c1,0.6363636363636364,0.7608695652173914,4,28,69,0.5,0.875,consistency_score_file_mean,0.24324324324324326,0.7041360160066574,9,28
0.463768115942029,0.5,high_is_c1,0.6336633663366337,0.8121827411167513,0,37,69,0.463768115942029,1.0,worst_score,0.0,0.0,0,32
0.463768115942029,0.5,low_is_c1,0.6336633663366337,0.8121827411167513,0,37,69,0.463768115942029,1.0,mean_minus_std_score,0.0,0.6024765883606205,0,32
0.463768115942029,0.5,low_is_c1,0.6336633663366337,0.8121827411167513,0,37,69,0.463768115942029,1.0,failure_sensitive_score,0.0,0.6832188599258885,0,32
0.463768115942029,0.5,low_is_c1,0.6336633663366337,0.8121827411167513,0,37,69,0.463768115942029,1.0,low_tail_penalty_score,0.0,0.7868651677354764,0,32
0.463768115942029,0.5,low_is_c1,0.6336633663366337,0.8121827411167513,0,37,69,0.463768115942029,1.0,high_low_gap_0_6_0_3,0.0,0.8461538461538463,0,32
0.463768115942029,0.5,low_is_c1,0.6336633663366337,0.8121827411167513,0,37,69,0.463768115942029,1.0,high_low_gap_0_6_0_4,0.0,0.8461538461538463,0,32
0.463768115942029,0.5,low_is_c1,0.6336633663366337,0.8121827411167513,0,37,69,0.463768115942029,1.0,high_low_gap_0_9_0_3,0.0,0.42857142857142855,0,32
0.463768115942029,0.5,low_is_c1,0.6336633663366337,0.8121827411167513,0,37,69,0.463768115942029,1.0,high_low_half_penalty_0_6_0_2,0.0,0.8846153846153847,0,32
0.463768115942029,0.5,low_is_c1,0.6336633663366337,0.8121827411167513,0,37,69,0.463768115942029,1.0,high_low_half_penalty_0_6_0_3,0.0,0.8846153846153847,0,32
0.463768115942029,0.5,low_is_c1,0.6336633663366337,0.8121827411167513,0,37,69,0.463768115942029,1.0,high_low_half_penalty_0_6_0_4,0.0,0.8846153846153847,0,32
