accuracy,auc_best_direction,balanced_accuracy,c0_mean,c0_n,c1_mean,c1_n,direction,eta2,f1,f2,fn,fp,precision,recall,recall_cap,score_key,specificity,threshold,tn,tp
0.5797101449275363,0.6161317567567568,0.5785472972972974,0.3025469837969838,37,0.23022550366300365,32,low_is_c1,0.04305204981608224,0.5538461538461538,0.5590062111801242,14,15,0.5454545454545454,0.5625,0.6,high_low_half_penalty_0_8_0_4,0.5945945945945946,0.27350427350427353,22,18
0.5797101449275363,0.5983952702702703,0.5785472972972974,0.2647844272844273,37,0.20935210622710623,32,low_is_c1,0.02313633291046823,0.5538461538461538,0.5590062111801242,14,15,0.5454545454545454,0.5625,0.6,high_low_gap_0_8_0_2,0.5945945945945946,0.2403846153846154,22,18
0.5797101449275363,0.5481418918918919,0.5785472972972974,0.4831162333532478,37,0.4637018541978518,32,low_is_c1,0.0032368942422809307,0.5538461538461538,0.5590062111801242,14,15,0.5454545454545454,0.5625,0.6,low_tail_penalty_score,0.5945945945945946,0.48608877441122467,22,18
0.5507246376811594,0.6009290540540541,0.5536317567567568,0.333985083985084,37,0.25968406593406596,32,low_is_c1,0.024439253728892617,0.5507246376811593,0.5757575757575758,13,18,0.5135135135135135,0.59375,0.6,high_low_gap_0_7_0_3,0.5135135135135135,0.3076923076923077,19,19
0.5507246376811594,0.5396959459459459,0.5536317567567568,0.5243864056364056,37,0.49702380952380953,32,low_is_c1,0.004834239436584942,0.5507246376811593,0.5757575757575758,13,18,0.5135135135135135,0.59375,0.6,high_low_half_penalty_0_6_0_3,0.5135135135135135,0.5345238095238096,19,19
0.5507246376811594,0.5367398648648649,0.5536317567567568,0.4208551958551959,37,0.3884271978021978,32,low_is_c1,0.004464915026244532,0.5507246376811593,0.5757575757575758,13,18,0.5135135135135135,0.59375,0.6,high_low_gap_0_6_0_3,0.5135135135135135,0.41428571428571426,19,19
0.5507246376811594,0.5358952702702703,0.5536317567567568,0.19220478316473327,37,0.17849864587592146,32,low_is_c1,0.001479383127569009,0.5507246376811593,0.5757575757575758,13,18,0.5135135135135135,0.59375,0.6,consistency_score_file_q10,0.5135135135135135,0.12253895008552504,19,19
0.5942028985507246,0.6127533783783784,0.5899493243243243,0.1787009537009537,37,0.09473443223443223,32,low_is_c1,0.03586862462664233,0.5483870967741935,0.5379746835443038,15,13,0.5666666666666667,0.53125,0.6,high_low_gap_0_8_0_4,0.6486486486486487,0.14835164835164835,24,17
0.5652173913043478,0.613597972972973,0.5650337837837838,0.43751629376629375,37,0.3682806776556777,32,low_is_c1,0.03159298768895451,0.5454545454545455,0.5555555555555556,14,16,0.5294117647058824,0.5625,0.6,high_low_half_penalty_0_7_0_3,0.5675675675675675,0.3995535714285714,21,18
0.5652173913043478,0.5253378378378378,0.5650337837837838,0.4326662938407997,37,0.41706576714751453,32,low_is_c1,0.0015653456784353963,0.5454545454545455,0.5555555555555556,14,16,0.5294117647058824,0.5625,0.6,consistency_score_file_q25,0.5675675675675675,0.44670004635527427,21,18
