accuracy,auc_best_direction,balanced_accuracy,c0_mean,c0_n,c1_mean,c1_n,direction,eta2,f1,f2,fn,fp,precision,recall,score_key,specificity,threshold,tn,tp
0.5652173913043478,0.6224662162162162,0.5840371621621622,0.31763893013893013,37,0.265224358974359,32,low_is_c1,0.04796244943033696,0.6428571428571429,0.75,5,25,0.5192307692307693,0.84375,high_score_rate_0_9,0.32432432432432434,0.39230769230769236,12,27
0.5652173913043478,0.6397804054054054,0.5840371621621622,0.7915897182909476,37,0.8406159579994065,32,high_is_c1,0.0461009857508838,0.6428571428571429,0.75,5,25,0.5192307692307693,0.84375,entropy_normalized,0.32432432432432434,0.7439173692426478,12,27
0.5652173913043478,0.6085304054054055,0.5840371621621622,0.21410772035772035,37,0.15662774725274725,32,low_is_c1,0.0397990354284079,0.6428571428571429,0.75,5,25,0.5192307692307693,0.84375,high_low_half_penalty_0_9_0_3,0.32432432432432434,0.2967032967032967,12,27
0.5797101449275363,0.6161317567567568,0.5954391891891893,0.3025469837969838,37,0.23022550366300365,32,low_is_c1,0.04305204981608224,0.6419753086419753,0.7344632768361582,6,23,0.5306122448979592,0.8125,high_low_half_penalty_0_8_0_4,0.3783783783783784,0.3846153846153846,14,26
0.5797101449275363,0.597972972972973,0.5954391891891893,0.16479700854700854,37,0.10509386446886447,32,low_is_c1,0.032358000629513876,0.6419753086419753,0.7344632768361582,6,23,0.5306122448979592,0.8125,high_low_half_penalty_0_9_0_5,0.3783783783783784,0.24038461538461536,14,26
0.4782608695652174,0.6127533783783784,0.5135135135135135,0.1787009537009537,37,0.09473443223443223,32,low_is_c1,0.03586862462664233,0.6399999999999999,0.8163265306122449,0,36,0.47058823529411764,1.0,high_low_gap_0_8_0_4,0.02702702702702703,0.576923076923077,1,32
0.4782608695652174,0.5975506756756757,0.5135135135135135,0.21933059433059432,37,0.14852335164835165,32,low_is_c1,0.030022765988906994,0.6399999999999999,0.8163265306122449,0,36,0.47058823529411764,1.0,high_low_gap_0_8_0_3,0.02702702702702703,0.576923076923077,1,32
0.4782608695652174,0.5983952702702703,0.5135135135135135,0.2647844272844273,37,0.20935210622710623,32,low_is_c1,0.02313633291046823,0.6399999999999999,0.8163265306122449,0,36,0.47058823529411764,1.0,high_low_gap_0_8_0_2,0.02702702702702703,0.5384615384615385,1,32
0.4782608695652174,0.5907939189189189,0.5135135135135135,0.1207091707091707,37,0.04545558608058608,32,low_is_c1,0.022816646476118994,0.6399999999999999,0.8163265306122449,0,36,0.47058823529411764,1.0,high_low_gap_0_8_0_5,0.02702702702702703,0.576923076923077,1,32
0.4782608695652174,0.5291385135135135,0.5135135135135135,0.4663090288090288,37,0.4492559523809524,32,low_is_c1,0.0014922825601984017,0.6399999999999999,0.8163265306122449,0,36,0.47058823529411764,1.0,high_low_gap_0_6_0_2,0.02702702702702703,0.8461538461538463,1,32
