accuracy,auc_best_direction,direction,eta_squared,f1,positive_mean,positive_n,positive_raw_labels,precision,recall,rest_mean,rest_n,score_key,score_title,target_label,threshold,threshold_rule
0.35344827586206895,0.5243675595238095,low_is_target,0.0003860599098154923,0.43609022556390975,0.23022550366300365,32,1.1,0.2871287128712871,0.90625,0.23854993386243387,84,high_low_half_penalty_0_8_0_4,High >= 0.8 Minus 0.5 Low < 0.4,c1,0.4285714285714286,high_low_half_penalty_0_8_0_4 <= 0.428571
0.39655172413793105,0.5161830357142857,low_is_target,0.0005410803204338608,0.435483870967742,0.15662774725274725,32,1.1,0.29347826086956524,0.84375,0.1646804501715216,84,high_low_half_penalty_0_9_0_3,High >= 0.9 Minus 0.5 Low < 0.3,c1,0.2967032967032967,high_low_half_penalty_0_9_0_3 <= 0.296703
0.39655172413793105,0.5119047619047619,low_is_target,4.578208408078843e-05,0.435483870967742,0.20558608058608058,32,1.1,0.29347826086956524,0.84375,0.20867301514622943,84,high_low_half_penalty_0_8_0_5,High >= 0.8 Minus 0.5 Low < 0.5,c1,0.37087912087912084,high_low_half_penalty_0_8_0_5 <= 0.370879
0.28448275862068967,0.5394345238095238,low_is_target,0.004750995402080596,0.435374149659864,0.15636446886446886,32,1.1,0.2782608695652174,1.0,0.17054806965521252,84,low_score_rate_0_2,Low Rate <0.2,c1,0.35384615384615387,low_score_rate_0_2 <= 0.353846
0.28448275862068967,0.5232514880952381,low_is_target,0.0002537044823932813,0.435374149659864,0.09473443223443223,32,1.1,0.2782608695652174,1.0,0.10342134717134717,84,high_low_gap_0_8_0_4,High >= 0.8 Minus Low < 0.4,c1,0.576923076923077,high_low_gap_0_8_0_4 <= 0.576923
0.28448275862068967,0.5119047619047619,low_is_target,8.516985153378938e-06,0.435374149659864,0.04545558608058608,32,1.1,0.2782608695652174,1.0,0.04366750973893831,84,high_low_gap_0_8_0_5,High >= 0.8 Minus Low < 0.5,c1,0.576923076923077,high_low_gap_0_8_0_5 <= 0.576923
0.28448275862068967,0.5113467261904762,low_is_target,1.4908793782170987e-06,0.435374149659864,0.14852335164835165,32,1.1,0.2782608695652174,1.0,0.1491347607419036,84,high_low_gap_0_8_0_3,High >= 0.8 Minus Low < 0.3,c1,0.576923076923077,high_low_gap_0_8_0_3 <= 0.576923
0.41379310344827586,0.5262276785714286,low_is_target,0.0018374022350067,0.4333333333333334,0.265224358974359,32,1.1,0.29545454545454547,0.8125,0.27695233007733006,84,high_score_rate_0_9,High Rate >=0.9,c1,0.3708791208791209,high_score_rate_0_9 <= 0.370879
0.3448275862068966,0.5126488095238095,high_is_target,0.00036827019608247846,0.43283582089552236,0.17849864587592146,32,1.1,0.28431372549019607,0.90625,0.17101663799608313,84,consistency_score_file_q10,Q10 Score,c1,0.019220044146498888,consistency_score_file_q10 >= 0.01922
0.27586206896551724,0.5150669642857143,low_is_target,9.675357641114779e-05,0.4324324324324324,0.04803113553113553,32,1.1,0.27586206896551724,1.0,0.05240857026571312,84,high_low_gap_0_9_0_3,High >= 0.9 Minus Low < 0.3,c1,0.42857142857142855,high_low_gap_0_9_0_3 <= 0.428571
0.27586206896551724,0.5122767857142857,low_is_target,1.1935099945111691e-05,0.4324324324324324,0.33463827838827837,32,1.1,0.27586206896551724,1.0,0.33242884760741903,84,high_low_gap_0_6_0_4,High >= 0.6 Minus Low < 0.4,c1,0.8461538461538463,high_low_gap_0_6_0_4 <= 0.846154
0.27586206896551724,0.5111607142857143,low_is_target,2.583359630841709e-05,0.4324324324324324,0.47012934981684984,32,1.1,0.27586206896551724,1.0,0.4675574342985057,84,high_low_half_penalty_0_6_0_4,High >= 0.6 Minus 0.5 Low < 0.4,c1,0.8846153846153847,high_low_half_penalty_0_6_0_4 <= 0.884615
0.27586206896551724,0.5005580357142857,low_is_target,0.00019268981397879204,0.4324324324324324,0.49702380952380953,32,1.1,0.27586206896551724,1.0,0.49041414108378395,84,high_low_half_penalty_0_6_0_3,High >= 0.6 Minus 0.5 Low < 0.3,c1,0.8846153846153847,high_low_half_penalty_0_6_0_3 <= 0.884615
0.7758620689655172,0.5554455445544555,high_is_target,0.0008678588479962023,0.35000000000000003,0.4855555555555556,15,"1.3,1.5",0.28,0.4666666666666667,0.465699310315647,101,high_low_half_penalty_0_6_0_4,High >= 0.6 Minus 0.5 Low < 0.4,c2,0.6662087912087913,high_low_half_penalty_0_6_0_4 >= 0.666209
0.7672413793103449,0.5415841584158416,high_is_target,0.00022788211989857823,0.3414634146341463,0.5005738705738706,15,"1.3,1.5",0.2692307692307692,0.4666666666666667,0.4909994227444723,101,high_low_half_penalty_0_6_0_3,High >= 0.6 Minus 0.5 Low < 0.3,c2,0.6726190476190477,high_low_half_penalty_0_6_0_3 >= 0.672619
0.7586206896551724,0.5663366336633663,high_is_target,0.004767003688337009,0.33333333333333337,0.45638288533815424,15,"1.3,1.5",0.25925925925925924,0.4666666666666667,0.41411151280277764,101,consistency_score_file_q25,Q25 Score,c2,0.6237041480061641,consistency_score_file_q25 >= 0.623704
0.7586206896551724,0.5412541254125413,high_is_target,0.0006209507619594596,0.33333333333333337,0.533015873015873,15,"1.3,1.5",0.25925925925925924,0.4666666666666667,0.5182711952513933,101,high_low_half_penalty_0_6_0_2,High >= 0.6 Minus 0.5 Low < 0.2,c2,0.6726190476190477,high_low_half_penalty_0_6_0_2 >= 0.672619
0.8275862068965517,0.5082508250825083,high_is_target,0.0012189192458227547,0.3333333333333333,0.4582500862392726,15,"1.3,1.5",0.3333333333333333,0.3333333333333333,0.4488322820882549,101,failure_sensitive_score,70% Mean + 30% Worst,c2,0.5443206446119138,failure_sensitive_score >= 0.544321
0.7413793103448276,0.5531353135313531,high_is_target,0.0008093226469250991,0.3181818181818182,0.35413919413919415,15,"1.3,1.5",0.2413793103448276,0.4666666666666667,0.3299045563897049,101,high_low_gap_0_6_0_4,High >= 0.6 Minus Low < 0.4,c2,0.554945054945055,high_low_gap_0_6_0_4 >= 0.554945
0.7241379310344828,0.566006600660066,low_is_target,0.0012537436364507117,0.3043478260869565,0.313015873015873,15,"1.3,1.5",0.22580645161290322,0.4666666666666667,0.329445925361767,101,low_score_rate_0_5,Low Rate <0.5,c2,0.22252747252747251,low_score_rate_0_5 <= 0.222527
0.8017241379310345,0.532013201320132,high_is_target,2.2108785422530998e-05,0.303030303030303,0.3841758241758242,15,"1.3,1.5",0.2777777777777778,0.3333333333333333,0.3805047812473555,101,high_low_gap_0_6_0_3,High >= 0.6 Minus Low < 0.3,c2,0.6291208791208791,high_low_gap_0_6_0_3 >= 0.629121
0.8017241379310345,0.5214521452145214,high_is_target,0.0004057238222965498,0.303030303030303,0.44905982905982905,15,"1.3,1.5",0.2777777777777778,0.3333333333333333,0.43504832626119755,101,high_low_gap_0_6_0_2,High >= 0.6 Minus Low < 0.2,c2,0.6291208791208791,high_low_gap_0_6_0_2 >= 0.629121
0.7586206896551724,0.5207920792079208,high_is_target,2.2315323790595487e-05,0.3,0.6207124374057802,15,"1.3,1.5",0.24,0.4,0.619254542920769,101,consistency_score_file_mean,Mean Turn Score,c2,0.695089070642203,consistency_score_file_mean >= 0.695089
0.7155172413793104,0.5452145214521452,low_is_target,0.005581968924350651,0.2978723404255319,0.7999197186587544,15,"1.3,1.5",0.21875,0.4666666666666667,0.8264761119105689,101,entropy_normalized,Binned Score Entropy,c2,0.7462647130197761,entropy_normalized <= 0.746265
0.7931034482758621,0.5042904290429043,high_is_target,0.002080015928547112,0.29411764705882354,0.3215641221360919,15,"1.3,1.5",0.2631578947368421,0.3333333333333333,0.3037718634461517,101,mean_minus_std_score,Mean Minus Std,c2,0.41795200214836903,mean_minus_std_score >= 0.417952
0.6810344827586207,0.5247524752475248,low_is_target,0.002355364811103459,0.27450980392156865,0.19502564426775276,15,"1.3,1.5",0.19444444444444445,0.4666666666666667,0.1698214811453879,101,consistency_score_file_q10,Q10 Score,c2,0.05068025937644297,consistency_score_file_q10 <= 0.0506803
0.7241379310344828,0.5217821782178218,low_is_target,0.0018476148011142425,0.2727272727272727,0.27008547008547007,15,"1.3,1.5",0.20689655172413793,0.4,0.29084944208706587,101,high_low_half_penalty_0_8_0_2,High >= 0.8 Minus 0.5 Low < 0.2,c2,0.17261904761904762,high_low_half_penalty_0_8_0_2 <= 0.172619
0.6293103448275862,0.5234323432343234,low_is_target,2.511463923365712e-10,0.2711864406779661,0.45280034949369224,15,"1.3,1.5",0.18181818181818182,0.5333333333333333,0.45280880494037756,101,low_tail_penalty_score,Mean Minus Low Tail,c2,0.4130913026530553,low_tail_penalty_score <= 0.413091
0.8103448275862069,0.5372937293729373,high_is_target,0.0005804577189695844,0.26666666666666666,-0.03814407814407815,15,"1.3,1.5",0.26666666666666666,0.26666666666666666,-0.05590039773208091,101,high_low_gap_0_9_0_5,High >= 0.9 Minus Low < 0.5,c2,0.2582417582417582,high_low_gap_0_9_0_5 >= 0.258242
